tiempo_ms,Vm_R_mV,Vm_Q_mV,Delta_mV
6.025000000000052,-68.55243628519474,-68.55243628519474,0.0
6.050000000000052,-68.54819347906489,-68.54819347906489,0.0
6.075000000000053,-68.5439590145517,-68.5439590145517,0.0
6.100000000000053,-68.53973287780389,-68.53973287780389,0.0
6.125000000000053,-68.53551505500046,-68.53551505500046,0.0
6.150000000000054,-68.53130553235005,-68.53130553235005,0.0
6.175000000000054,-68.52710429609037,-68.52710429609037,0.0
6.200000000000054,-68.52291133248771,-68.52291133248771,0.0
6.225000000000055,-68.51872662783627,-68.51872662783627,0.0
6.250000000000055,-68.51455016845777,-68.51455016845777,0.0
6.275000000000055,-68.51038194070087,-68.51038194070087,0.0
6.300000000000056,-68.50622193094068,-68.50622193094068,0.0
6.325000000000056,-68.50207012557836,-68.50207012557836,0.0
6.3500000000000565,-68.49792651104057,-68.49792651104057,0.0
6.375000000000057,-68.49379107377912,-68.49379107377912,0.0
6.400000000000057,-68.48966380027045,-68.48966380027045,0.0
6.4250000000000576,-68.48554467701527,-68.48554467701527,0.0
6.450000000000058,-68.48143369053818,-68.48143369053818,0.0
6.475000000000058,-68.47733082738723,-68.47733082738723,0.0
6.500000000000059,-68.47323607413361,-68.47323607413361,0.0
6.525000000000059,-68.46914941737118,-68.46914941737118,0.0
6.550000000000059,-68.46507084371626,-68.46507084371626,0.0
6.57500000000006,-68.4610003398072,-68.4610003398072,0.0
6.60000000000006,-68.45693789230404,-68.45693789230404,0.0
6.62500000000006,-68.45288348788829,-68.45288348788829,0.0
6.650000000000061,-68.4488371132625,-68.4488371132625,0.0
6.675000000000061,-68.44479875515007,-68.44479875515007,0.0
6.7000000000000615,-68.44076840029491,-68.44076840029491,0.0
6.725000000000062,-68.43674603546118,-68.43674603546118,0.0
6.750000000000062,-68.43273164743299,-68.43273164743299,0.0
6.7750000000000625,-68.42872522301418,-68.42872522301418,0.0
6.800000000000063,-68.42472674902808,-68.42472674902808,0.0
6.825000000000063,-68.42073621231722,-68.42073621231722,0.0
6.850000000000064,-68.41675359974313,-68.41675359974313,0.0
6.875000000000064,-68.41277889818612,-68.41277889818612,0.0
6.900000000000064,-68.40881209454503,-68.40881209454503,0.0
6.925000000000065,-68.40485317573705,-68.40485317573705,0.0
6.950000000000065,-68.40090212869751,-68.40090212869751,0.0
6.975000000000065,-68.39695894037968,-68.39695894037968,0.0
7.000000000000066,-68.39302359775455,-68.39302359775455,0.0
7.025000000000066,-68.38909608781073,-68.38909608781073,0.0
7.050000000000066,-68.38517639755416,-68.38517639755416,0.0
7.075000000000067,-68.38126451400804,-68.38126451400804,0.0
7.100000000000067,-68.3773604242126,-68.3773604242126,0.0
7.1250000000000675,-68.37346411522496,-68.37346411522496,0.0
7.150000000000068,-68.36957557411901,-68.36957557411901,0.0
7.175000000000068,-68.36569478798519,-68.36569478798519,0.0
